Event	ID	Name			Wwise Object Path	Notes
	100151336	Ambient_Campfire_Stop			\Mario Work Unit\Ambient\3D Emitters\Ambient_Campfire_Stop	
	120976108	Ambient_Torch			\Mario Work Unit\Ambient\3D Emitters\Ambient_Torch	
	452547817	Stop_All			\Francesc Work Unit\Stop_All	
	808893336	UI_QuestRoll_Close			\Francesc Work Unit\Quest Roll\UI_QuestRoll_Close	
	844130829	Quest_CompleteCollection			\Francesc Work Unit\Quest Roll\Quest_CompleteCollection	
	949395292	UI_QuestRoll_Open			\Francesc Work Unit\Quest Roll\UI_QuestRoll_Open	
	2199611969	UI_Inventory_Open			\Francesc Work Unit\Inventory\UI_Inventory_Open	
	2278290679	UI_Inventory_Close			\Francesc Work Unit\Inventory\UI_Inventory_Close	
	2355650095	Ambient_Crystal_Hum			\Mario Work Unit\Ambient\3D Emitters\Ambient_Crystal_Hum	
	2453392179	Player_Footstep			\Francesc Work Unit\Footsteps\Player_Footstep	
	2792117052	UI_QuestRoll_Hide			\Francesc Work Unit\Quest Roll\UI_QuestRoll_Hide	
	3240473869	Quest_Complete			\Francesc Work Unit\Quest Roll\Quest_Complete	
	3664581270	Ambient_Campfire_Play			\Mario Work Unit\Ambient\3D Emitters\Ambient_Campfire_Play	
	3695342915	Player_WeaponImpact			\Mario Work Unit\Player_WeaponImpact	
	3699139167	UI_QuestRoll_Show			\Francesc Work Unit\Quest Roll\UI_QuestRoll_Show	
	3741135221	Music_Region			\Francesc Work Unit\Music\Music_Region	
	3749307760	UI_Inventory_Roll			\Francesc Work Unit\Inventory\UI_Inventory_Roll	
	4254124015	Destruction_Container			\Francesc Work Unit\Destruction\Destruction_Container	
	4275106484	Ambient_Lava			\Mario Work Unit\Ambient\3D Emitters\Ambient_Lava	

Switch Group	ID	Name			Wwise Object Path	Notes
	3251833556	Player_Weapon_Type			\Mario Work Unit\Player_Weapon_Type	
	4064446173	Surface_Type			\Francesc Work Unit\Surface_Type	

Switch	ID	Name	Switch Group			Notes
	490825222	PickAxe	Player_Weapon_Type			
	703486095	Hammer	Player_Weapon_Type			
	765201635	Axe	Player_Weapon_Type			
	2454616260	Sword	Player_Weapon_Type			
	3732162827	Dagger	Player_Weapon_Type			
	286660663	Rubble	Surface_Type			
	389757836	Agent	Surface_Type			
	442447909	Barrel	Surface_Type			
	582824249	Leaves	Surface_Type			
	803837735	Sand	Surface_Type			
	1216965916	Stone	Surface_Type			
	1647104456	Enemy_EvilCrawler	Surface_Type			
	2058049674	Wood	Surface_Type			
	2195636714	Dirt	Surface_Type			
	2473969246	Metal	Surface_Type			
	2654748154	Water	Surface_Type			
	3065846598	Enemy_EvilHead	Surface_Type			
	3098439042	Crate	Surface_Type			
	3276966729	Enemy_EvilSpitPlant	Surface_Type			
	3444057113	Crystal	Surface_Type			
	4248645337	Grass	Surface_Type			

State Group	ID	Name			Wwise Object Path	Notes
	2106907484	Music_Regions			\Francesc Work Unit\Music_Regions	

State	ID	Name	State Group			Notes
	608898761	Dungeon	Music_Regions			
	748895195	None	Music_Regions			
	1421251628	Woodlands	Music_Regions			
	1850388778	Desert	Music_Regions			
	3132368115	WwizardHouse	Music_Regions			
	3160623154	Silent	Music_Regions			
	3424056949	Nowhere	Music_Regions			
	3945572659	Village	Music_Regions			
	4122393694	Cave	Music_Regions			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2471758783	Player_MovementSpeed			\Francesc Work Unit\Player_MovementSpeed	
	2642438544	MenuSlider_Music_Volume			\Francesc Work Unit\MenuSlider_Music_Volume	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	13526250	BAS_Player_Footstep_wood_run_02	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\Footsteps\Run\Wood\BAS_Player_Footstep_wood_run_02_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Footsteps\Run\Wood\BAS_Player_Footstep_wood_run_02		25456
	14602944	BAS_Player_Footstep_sand_walk_06	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\Footsteps\Walk\Sand\BAS_Player_Footstep_sand_walk_06_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Footsteps\Walk\Sand\BAS_Player_Footstep_sand_walk_06		23686
	18405151	BAS_Player_Footstep_grass_walk_02	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\Footsteps\Walk\Grass\BAS_Player_Footstep_grass_walk_02_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Footsteps\Walk\Grass\BAS_Player_Footstep_grass_walk_02		51004
	36539885	BAS_QuestRoll_CompleteStep	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\BAS_Inventory_Select_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Quest Roll\BAS_QuestRoll_CompleteStep		160988
	36740477	BAS_Player_Footstep_rubble_walk_05	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\Footsteps\Walk\Rubble\BAS_Player_Footstep_rubble_walk_05_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Footsteps\Walk\Rubble\BAS_Player_Footstep_rubble_walk_05		47410
	40987624	BAS_Player_Footstep_water_run_04	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\Footsteps\Run\Water\BAS_Player_Footstep_water_run_04_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Footsteps\Run\Water\BAS_Player_Footstep_water_run_04		26120
	47495919	BAS_Impact_Axe_SurfaceType_Stone	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\BAS_Impact_Axe_SurfaceType_Stone_10C4C929.wem		\Actor-Mixer Hierarchy\Mario Work Unit\Weapons\Weapons\Axe\BAS_Impact_Axe_SurfaceType_Stone		62442
	58998238	BAS_Crate_Destroy_04	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\BAS_Crate_Destroy_04_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Destruction\Container\BAS_Crate_Destroy_04		146658
	64515631	BAS_Player_Footstep_rubble_run_04	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\Footsteps\Run\Rubble\BAS_Player_Footstep_rubble_run_04_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Footsteps\Run\Rubble\BAS_Player_Footstep_rubble_run_04		26120
	75697501	BAS_Player_Footstep_dirt_run_04	C:\Users\TheFr\OneDrive\Documentos\GitHub\WwiseAudioProject\Wwise Adventure Game Project\.cache\Windows\SFX\Footsteps\Run\Dirt\BAS_Player_Footstep_dirt_run_04_10C4C929.wem		\Actor-Mixer Hierarchy\Francesc Work Unit\Footsteps\Run\Dirt\BAS_Player_Footstep_dirt_run_04		26120
